F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
307200,537600000,1,100,5.578800557880056,0.45,254.0
307200,614400000,1,0,11.359763716914689,0.0,50.4
307200,614400000,1,10,9.690861517588914,0.08,103.11
307200,614400000,1,20,8.93814801573114,0.14,142.75
307200,614400000,1,30,8.252867871585376,0.2,185.12
307200,614400000,1,40,7.774236181295188,0.24,218.0
307200,614400000,1,50,7.310475911981871,0.29,218.0
307200,614400000,1,60,6.8903741473162,0.32,242.0
307200,614400000,1,70,6.514657980456026,0.36,275.5
307200,614400000,1,80,6.215813028344107,0.39,282.67
307200,614400000,1,90,5.871645822323997,0.42,304.0
307200,614400000,1,100,5.638249887235002,0.44,289.83
307200,691200000,1,0,11.331444759206798,0.0,88.3
307200,691200000,1,10,9.762764814995606,0.08,127.0
307200,691200000,1,20,9.030976248532466,0.14,169.0
307200,691200000,1,30,8.366800535475235,0.2,212.0
307200,691200000,1,40,7.897646501342599,0.24,224.0
307200,691200000,1,50,7.4068587512036155,0.28,260.14
307200,691200000,1,60,6.980315510261065,0.32,266.29
307200,691200000,1,70,6.623832549513148,0.36,297.0
307200,691200000,1,80,6.306363120388472,0.39,297.0
307200,691200000,1,90,6.011783094865937,0.41,325.0
307200,691200000,1,100,5.7833555028627615,0.44,339.0
307200,768000000,1,0,11.143302874972143,0.0,88.3
307200,768000000,1,10,9.770395701025892,0.08,150.33
307200,768000000,1,20,9.071940488070398,0.13,190.5
307200,768000000,1,30,8.432414200185512,0.19,233.0
307200,768000000,1,40,7.985944737262418,0.23,260.14
307200,768000000,1,50,7.486150621350501,0.27,297.0
307200,768000000,1,60,7.121492664862556,0.31,327.0
307200,768000000,1,70,6.774608766343743,0.34,339.0
307200,768000000,1,80,6.4412238325281805,0.37,367.0
307200,768000000,1,90,6.163328197226503,0.4,374.0
307200,768000000,1,100,5.883391186680003,0.43,381.0
307200,844800000,1,0,11.164452383610584,0.0,92.6
307200,844800000,1,10,9.80296049406921,0.07,169.0
307200,844800000,1,20,9.06043308870164,0.13,217.25
307200,844800000,1,30,8.479606546256253,0.18,264.75
307200,844800000,1,40,7.978299026647519,0.23,297.0
307200,844800000,1,50,7.523888345496953,0.27,339.0
307200,844800000,1,60,7.164863509350147,0.3,351.0
307200,844800000,1,70,6.91323885240235,0.33,381.0
307200,844800000,1,80,6.5342394145321485,0.36,423.0
307200,844800000,1,90,6.244925997626928,0.39,423.0
307200,844800000,1,100,6.018657839301835,0.41,423.0
307200,921600000,1,0,11.169440411035406,0.0,131.2
307200,921600000,1,10,9.744689144416293,0.07,178.56
307200,921600000,1,20,9.054690329590729,0.13,254.0
307200,921600000,1,30,8.399832003359933,0.18,297.0
307200,921600000,1,40,7.920792079207921,0.23,339.0
307200,921600000,1,50,7.482229704451926,0.27,375.0
307200,921600000,1,60,7.098239636570131,0.3,387.0
307200,921600000,1,70,6.761325219743069,0.34,423.0
307200,921600000,1,80,6.436248954109545,0.37,423.0
307200,921600000,1,90,6.159152500615915,0.39,466.0
307200,921600000,1,100,5.9273309228854245,0.42,466.0
403200,76800000,1,0,14.398848092152628,0.0,42.0
403200,76800000,1,10,9.120758847136083,0.33,84.0
403200,76800000,1,20,6.81663258350375,0.49,84.0
403200,76800000,1,30,5.333902282910177,0.6,84.0
403200,76800000,1,40,4.46090020966231,0.66,84.0
403200,76800000,1,50,3.830390316773279,0.71,94.75
403200,76800000,1,60,3.3684777848890084,0.74,127.0
403200,76800000,1,70,3.0027324865627723,0.77,127.0
403200,76800000,1,80,2.69767190914241,0.79,127.0
403200,76800000,1,90,2.4529644074864474,0.81,112.67
403200,76800000,1,100,2.2687569480681535,0.83,98.33
403200,153600000,1,0,14.457134595923087,0.0,42.0
403200,153600000,1,10,10.71007818357074,0.21,84.0
403200,153600000,1,20,8.76424189307625,0.34,127.0
403200,153600000,1,30,7.317965605561653,0.44,127.0
403200,153600000,1,40,6.404508774177021,0.51,127.0
403200,153600000,1,50,5.678914191606565,0.57,162.0
403200,153600000,1,60,5.100219309430305,0.61,169.0
403200,153600000,1,70,4.62877244954638,0.64,169.0
403200,153600000,1,80,4.241601628775026,0.67,169.0
403200,153600000,1,90,3.8974199080208902,0.7,169.0
403200,153600000,1,100,3.6484366448976617,0.72,169.0
403200,230400000,1,0,14.44251877527441,0.0,45.5
403200,230400000,1,10,11.377858686995108,0.16,84.0
403200,230400000,1,20,9.750390015600624,0.27,127.0
403200,230400000,1,30,8.49040584139922,0.36,158.5
403200,230400000,1,40,7.5964752354907334,0.42,169.0
403200,230400000,1,50,6.8686036128855,0.48,169.0
